                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8954,                0.05556,                0.58333,                 2.7969,                      0,                      0,                      0
                      2,                 3.8954,                0.05556,                0.58333,                 2.7971,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                 3.8801,                0.02778,                0.61111,                 2.7969,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                 3.8514,                0.02778,                0.58333,                 2.7963,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                 3.8111,                0.05556,                0.58333,                 2.7953,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                 3.7609,                0.11111,                0.58333,                 2.7939,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                 3.7027,                0.16667,                0.61111,                 2.7921,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                 3.6384,                0.22222,                0.66667,                 2.7899,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                 3.5699,                   0.25,                0.72222,                 2.7871,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                 3.4987,                   0.25,                0.72222,                 2.7839,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                 3.4265,                0.30556,                0.72222,                 2.7803,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                 3.3548,                0.38889,                0.80556,                 2.7763,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                 3.2849,                0.44444,                0.86111,                 2.7722,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                  3.218,                0.47222,                0.94444,                 2.7679,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                 3.1553,                0.52778,                      1,                 2.7636,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                 3.0979,                0.55556,                      1,                 2.7594,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                 3.0468,                   0.75,                      1,                 2.7555,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                 3.0033,                0.77778,                      1,                  2.752,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                 2.9683,                0.77778,                      1,                 2.7492,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                 2.9429,                0.83333,                      1,                 2.7471,             8.0718e-06,             8.0718e-06,             8.0718e-06
